Trade at 2018-04-19 23:30:00 with price 8252.03 and signal 1, total assets : 0.12118230302119598, trade_pnl : 0, net_pnl : 0
Trade at 2019-10-31 11:30:00 with price 9131.38 and signal 1, total assets : 0.10951247237547886, trade_pnl : 0, net_pnl : -631.4368456108449
Trade at 2019-10-31 13:00:00 with price 9098.32 and signal -1, total assets : 0, trade_pnl : -3.6204823367332892, net_pnl : -635.0573279475782
Trade at 2019-10-31 13:30:00 with price 9104.96 and signal -1, total assets : -0.10983024637120867, trade_pnl : 0, net_pnl : -635.0573279475782
Trade at 2019-10-31 17:00:00 with price 9109.53 and signal 1, total assets : 0, trade_pnl : -0.5019242259165821, net_pnl : -635.5592521734948
Trade at 2019-10-31 17:30:00 with price 9331.44 and signal 1, total assets : 0.10716459624666717, trade_pnl : 0, net_pnl : -635.5592521734948
Trade at 2019-10-31 20:00:00 with price 9238.65 and signal -1, total assets : 0, trade_pnl : -9.94380288572836, net_pnl : -645.5030550592231
Trade at 2019-10-31 20:30:00 with price 9193.94 and signal -1, total assets : -0.10876729671936079, trade_pnl : 0, net_pnl : -645.5030550592231
Trade at 2019-10-31 22:30:00 with price 9239.08 and signal 1, total assets : 0, trade_pnl : -4.909755773911911, net_pnl : -650.412810833135
Trade at 2019-10-31 23:00:00 with price 9243.41 and signal 1, total assets : 0.10818518274100143, trade_pnl : 0, net_pnl : -650.412810833135
Trade at 2019-11-01 00:00:00 with price 9229.95 and signal -1, total assets : 0, trade_pnl : -1.456172559693755, net_pnl : -651.8689833928288
Trade at 2019-11-01 00:30:00 with price 9213.46 and signal -1, total assets : -0.10853685803161897, trade_pnl : 0, net_pnl : -651.8689833928288
Trade at 2019-11-01 05:00:00 with price 9140.85 and signal 1, total assets : 0, trade_pnl : 7.8808612616757046, net_pnl : -643.9881221311531
Trade at 2019-11-01 05:30:00 with price 9108.63 and signal 1, total assets : 0.10978599416158084, trade_pnl : 0, net_pnl : -643.9881221311531
Trade at 2019-11-01 06:00:00 with price 9125.52 and signal -1, total assets : 0, trade_pnl : 1.8542854413892655, net_pnl : -642.1338366897638
Trade at 2019-11-01 06:30:00 with price 9117.1 and signal 1, total assets : 0.1096840003948624, trade_pnl : 0, net_pnl : -642.1338366897638
Trade at 2019-11-01 07:00:00 with price 9092.65 and signal -1, total assets : 0, trade_pnl : -2.681773809654487, net_pnl : -644.8156104994183
Trade at 2019-11-01 07:30:00 with price 9086.7 and signal -1, total assets : -0.11005095359151286, trade_pnl : 0, net_pnl : -644.8156104994183
Trade at 2019-11-01 11:00:00 with price 9080.79 and signal 1, total assets : 0, trade_pnl : 0.650401135725815, net_pnl : -644.1652093636925
Trade at 2019-11-01 11:30:00 with price 9100.28 and signal 1, total assets : 0.1098867287599942, trade_pnl : 0, net_pnl : -644.1652093636925
Trade at 2019-11-01 13:00:00 with price 9099.0 and signal -1, total assets : 0, trade_pnl : -0.14065501281277193, net_pnl : -644.3058643765053
Trade at 2019-11-01 13:30:00 with price 9139.95 and signal 1, total assets : 0.10940978889381232, trade_pnl : 0, net_pnl : -644.3058643765053
Trade at 2019-11-01 19:00:00 with price 9112.86 and signal -1, total assets : 0, trade_pnl : -2.9639111811333123, net_pnl : -647.2697755576386
Trade at 2019-11-01 19:30:00 with price 9111.27 and signal -1, total assets : -0.10975418355509166, trade_pnl : 0, net_pnl : -647.2697755576386
Trade at 2019-11-01 21:00:00 with price 9082.43 and signal 1, total assets : 0, trade_pnl : 3.1653106537288522, net_pnl : -644.1044649039097
Trade at 2019-11-01 21:30:00 with price 9139.99 and signal -1, total assets : -0.1094093100758316, trade_pnl : 0, net_pnl : -644.1044649039097
Trade at 2019-11-01 22:00:00 with price 9152.9 and signal 1, total assets : 0, trade_pnl : -1.4124741930789924, net_pnl : -645.5169390969887
Trade at 2019-11-01 22:30:00 with price 9168.36 and signal 1, total assets : 0.10907076074674205, trade_pnl : 0, net_pnl : -645.5169390969887
Trade at 2019-11-02 05:30:00 with price 9228.99 and signal -1, total assets : 0, trade_pnl : 6.612960224074868, net_pnl : -638.9039788729139
Trade at 2019-11-02 06:00:00 with price 9243.54 and signal 1, total assets : 0.10818366123801054, trade_pnl : 0, net_pnl : -638.9039788729139
Trade at 2019-11-02 08:00:00 with price 9249.88 and signal -1, total assets : 0, trade_pnl : 0.6858844122489245, net_pnl : -638.2180944606649
Trade at 2019-11-02 08:30:00 with price 9238.29 and signal 1, total assets : 0.10824514060502538, trade_pnl : 0, net_pnl : -638.2180944606649
Trade at 2019-11-02 09:00:00 with price 9236.67 and signal -1, total assets : 0, trade_pnl : -0.17535712778021662, net_pnl : -638.3934515884451
Trade at 2019-11-02 09:30:00 with price 9216.3 and signal -1, total assets : -0.108503412432321, trade_pnl : 0, net_pnl : -638.3934515884451
Trade at 2019-11-02 12:30:00 with price 9205.82 and signal 1, total assets : 0, trade_pnl : 1.1371157622907049, net_pnl : -637.2563358261544
Trade at 2019-11-02 13:00:00 with price 9213.97 and signal -1, total assets : -0.10853085043689095, trade_pnl : 0, net_pnl : -637.2563358261544
Trade at 2019-11-02 14:30:00 with price 9219.36 and signal 1, total assets : 0, trade_pnl : -0.5849812838550861, net_pnl : -637.8413171100095
Trade at 2019-11-02 15:00:00 with price 9208.9 and signal 1, total assets : 0.10859060256925367, trade_pnl : 0, net_pnl : -637.8413171100095
Trade at 2019-11-02 15:30:00 with price 9210.49 and signal -1, total assets : 0, trade_pnl : 0.17265905808517346, net_pnl : -637.6686580519244
Trade at 2019-11-02 16:00:00 with price 9214.91 and signal 1, total assets : 0.10851977935758461, trade_pnl : 0, net_pnl : -637.6686580519244
Trade at 2019-11-02 20:30:00 with price 9287.89 and signal -1, total assets : 0, trade_pnl : 7.91977349751653, net_pnl : -629.7488845544078
Trade at 2019-11-02 21:00:00 with price 9324.36 and signal -1, total assets : -0.1072459664792007, trade_pnl : 0, net_pnl : -629.7488845544078
Trade at 2019-11-02 22:30:00 with price 9316.89 and signal 1, total assets : 0, trade_pnl : 0.8011273695998398, net_pnl : -628.947757184808
Trade at 2019-11-02 23:00:00 with price 9288.39 and signal 1, total assets : 0.10766128467904557, trade_pnl : 0, net_pnl : -628.947757184808
Trade at 2019-11-02 23:30:00 with price 9284.61 and signal -1, total assets : 0, trade_pnl : -0.40695965608665574, net_pnl : -629.3547168408946
Trade at 2019-11-03 00:00:00 with price 9285.0 and signal -1, total assets : -0.10770059235325795, trade_pnl : 0, net_pnl : -629.3547168408946
Trade at 2019-11-03 01:30:00 with price 9289.12 and signal 1, total assets : 0, trade_pnl : -0.44372644049553855, net_pnl : -629.7984432813902
Trade at 2019-11-03 02:00:00 with price 9303.26 and signal 1, total assets : 0.10748920270958782, trade_pnl : 0, net_pnl : -629.7984432813902
Trade at 2019-11-03 03:00:00 with price 9271.97 and signal -1, total assets : 0, trade_pnl : -3.3633371527830604, net_pnl : -633.1617804341732
Trade at 2019-11-03 03:30:00 with price 9287.18 and signal -1, total assets : -0.107675311558514, trade_pnl : 0, net_pnl : -633.1617804341732
Trade at 2019-11-03 05:00:00 with price 9289.52 and signal 1, total assets : 0, trade_pnl : -0.251960229046972, net_pnl : -633.4137406632202
Trade at 2019-11-03 05:30:00 with price 9301.68 and signal 1, total assets : 0.10750746101779463, trade_pnl : 0, net_pnl : -633.4137406632202
Trade at 2019-11-03 10:00:00 with price 9260.24 and signal -1, total assets : 0, trade_pnl : -4.455109184577509, net_pnl : -637.8688498477977
Trade at 2019-11-03 10:30:00 with price 9255.05 and signal -1, total assets : -0.10804911912955631, trade_pnl : 0, net_pnl : -637.8688498477977
Trade at 2019-11-03 12:30:00 with price 9253.0 and signal 1, total assets : 0, trade_pnl : 0.2215006942154787, net_pnl : -637.6473491535822
Trade at 2019-11-03 13:00:00 with price 9239.61 and signal -1, total assets : -0.10822967636079878, trade_pnl : 0, net_pnl : -637.6473491535822
Trade at 2019-11-03 18:30:00 with price 9148.24 and signal 1, total assets : 0, trade_pnl : 9.888945529086186, net_pnl : -627.758403624496
Trade at 2019-11-03 19:00:00 with price 9163.76 and signal -1, total assets : -0.10912551179865033, trade_pnl : 0, net_pnl : -627.758403624496
Trade at 2019-11-03 19:30:00 with price 9150.03 and signal 1, total assets : 0, trade_pnl : 1.498293276995355, net_pnl : -626.2601103475007
Trade at 2019-11-03 20:00:00 with price 9145.79 and signal 1, total assets : 0.10933992580192634, trade_pnl : 0, net_pnl : -626.2601103475007
Trade at 2019-11-03 20:30:00 with price 9163.78 and signal -1, total assets : 0, trade_pnl : 1.9670252651766305, net_pnl : -624.2930850823241
Trade at 2019-11-03 21:00:00 with price 9177.68 and signal 1, total assets : 0.10895999860531201, trade_pnl : 0, net_pnl : -624.2930850823241
Trade at 2019-11-03 23:00:00 with price 9157.51 and signal -1, total assets : 0, trade_pnl : -2.197723171869143, net_pnl : -626.4908082541932
Trade at 2019-11-03 23:30:00 with price 9140.39 and signal -1, total assets : -0.10940452212651758, trade_pnl : 0, net_pnl : -626.4908082541932
Trade at 2019-11-04 01:00:00 with price 9135.12 and signal 1, total assets : 0, trade_pnl : 0.5765618316066821, net_pnl : -625.9142464225865
Trade at 2019-11-04 01:30:00 with price 9149.51 and signal -1, total assets : -0.1092954704678174, trade_pnl : 0, net_pnl : -625.9142464225865
Trade at 2019-11-04 02:00:00 with price 9151.73 and signal 1, total assets : 0, trade_pnl : -0.2426359444384616, net_pnl : -626.156882367025
Trade at 2019-11-04 02:30:00 with price 9133.54 and signal -1, total assets : -0.10948657366147188, trade_pnl : 0, net_pnl : -626.156882367025
Trade at 2019-11-04 03:30:00 with price 9166.69 and signal 1, total assets : 0, trade_pnl : -3.629479916877699, net_pnl : -629.7863622839027
Trade at 2019-11-04 04:00:00 with price 9203.44 and signal 1, total assets : 0.10865502464295958, trade_pnl : 0, net_pnl : -629.7863622839027
Trade at 2019-11-04 06:30:00 with price 9158.71 and signal -1, total assets : 0, trade_pnl : -4.860139252279737, net_pnl : -634.6465015361824
Trade at 2019-11-04 07:00:00 with price 9158.04 and signal -1, total assets : -0.10919367026132228, trade_pnl : 0, net_pnl : -634.6465015361824
Trade at 2019-11-04 12:00:00 with price 9160.22 and signal 1, total assets : 0, trade_pnl : -0.23804220116949182, net_pnl : -634.8845437373519
Trade at 2019-11-04 12:30:00 with price 9178.14 and signal 1, total assets : 0.10895453762962867, trade_pnl : 0, net_pnl : -634.8845437373519
Trade at 2019-11-04 14:30:00 with price 9168.49 and signal -1, total assets : 0, trade_pnl : -1.0514112881257915, net_pnl : -635.9359550254777
Trade at 2019-11-04 15:00:00 with price 9173.5 and signal -1, total assets : -0.10900964735379082, trade_pnl : 0, net_pnl : -635.9359550254777
Trade at 2019-11-04 16:00:00 with price 9199.96 and signal 1, total assets : 0, trade_pnl : -2.8843952689812795, net_pnl : -638.820350294459
Trade at 2019-11-04 16:30:00 with price 9232.3 and signal 1, total assets : 0.10831537103430348, trade_pnl : 0, net_pnl : -638.820350294459
Trade at 2019-11-04 19:30:00 with price 9256.55 and signal -1, total assets : 0, trade_pnl : 2.626647747581842, net_pnl : -636.1937025468771
Trade at 2019-11-04 20:00:00 with price 9299.04 and signal 1, total assets : 0.1075379824153891, trade_pnl : 0, net_pnl : -636.1937025468771
Trade at 2019-11-05 00:00:00 with price 9264.02 and signal -1, total assets : 0, trade_pnl : -3.765980144186983, net_pnl : -639.9596826910641
Trade at 2019-11-05 00:30:00 with price 9265.99 and signal -1, total assets : -0.10792154966711598, trade_pnl : 0, net_pnl : -639.9596826910641
Trade at 2019-11-05 02:00:00 with price 9446.75 and signal 1, total assets : 0, trade_pnl : -19.507899317827878, net_pnl : -659.467582008892
Trade at 2019-11-05 02:30:00 with price 9432.49 and signal 1, total assets : 0.10601654494200365, trade_pnl : 0, net_pnl : -659.467582008892
Trade at 2019-11-05 04:00:00 with price 9364.14 and signal -1, total assets : 0, trade_pnl : -7.246230846786034, net_pnl : -666.713812855678
Trade at 2019-11-05 04:30:00 with price 9402.94 and signal -1, total assets : -0.10634971615260758, trade_pnl : 0, net_pnl : -666.713812855678
Trade at 2019-11-05 06:30:00 with price 9396.82 and signal 1, total assets : 0, trade_pnl : 0.650860262854053, net_pnl : -666.062952592824
Trade at 2019-11-05 07:00:00 with price 9427.15 and signal -1, total assets : -0.1060765979113518, trade_pnl : 0, net_pnl : -666.062952592824
Trade at 2019-11-05 07:30:00 with price 9425.85 and signal 1, total assets : 0, trade_pnl : 0.13789957728465652, net_pnl : -665.9250530155393
Trade at 2019-11-05 08:00:00 with price 9427.52 and signal 1, total assets : 0.10607243474423814, trade_pnl : 0, net_pnl : -665.9250530155393
Trade at 2019-11-05 09:00:00 with price 9404.24 and signal -1, total assets : 0, trade_pnl : -2.469366280845975, net_pnl : -668.3944192963853
Trade at 2019-11-05 09:30:00 with price 9361.57 and signal -1, total assets : -0.10681968943243494, trade_pnl : 0, net_pnl : -668.3944192963853
Trade at 2019-11-05 15:00:00 with price 9287.66 and signal 1, total assets : 0, trade_pnl : 7.8950432459512285, net_pnl : -660.4993760504341
Trade at 2019-11-05 15:30:00 with price 9288.25 and signal 1, total assets : 0.10766290743681534, trade_pnl : 0, net_pnl : -660.4993760504341
Trade at 2019-11-05 17:30:00 with price 9304.61 and signal -1, total assets : 0, trade_pnl : 1.7613651656664615, net_pnl : -658.7380108847676
Trade at 2019-11-05 18:00:00 with price 9295.78 and signal 1, total assets : 0.10757569563823584, trade_pnl : 0, net_pnl : -658.7380108847676
Trade at 2019-11-05 19:00:00 with price 9237.82 and signal -1, total assets : 0, trade_pnl : -6.235087319192189, net_pnl : -664.9730982039598
Trade at 2019-11-05 19:30:00 with price 9271.8 and signal -1, total assets : -0.10785392264716669, trade_pnl : 0, net_pnl : -664.9730982039598
Trade at 2019-11-05 20:30:00 with price 9343.8 and signal 1, total assets : 0, trade_pnl : -7.765482430595966, net_pnl : -672.7385806345558
Trade at 2019-11-05 21:00:00 with price 9369.61 and signal 1, total assets : 0.10672802816766119, trade_pnl : 0, net_pnl : -672.7385806345558
Trade at 2019-11-05 22:30:00 with price 9365.97 and signal -1, total assets : 0, trade_pnl : -0.3884900225303909, net_pnl : -673.1270706570862
Trade at 2019-11-05 23:00:00 with price 9339.91 and signal 1, total assets : 0.10706741285515599, trade_pnl : 0, net_pnl : -673.1270706570862
Trade at 2019-11-05 23:30:00 with price 9350.93 and signal -1, total assets : 0, trade_pnl : 1.1798828896638724, net_pnl : -671.9471877674223
Trade at 2019-11-06 00:00:00 with price 9331.39 and signal 1, total assets : 0.1071651704622784, trade_pnl : 0, net_pnl : -671.9471877674223
Trade at 2019-11-06 00:30:00 with price 9350.2 and signal -1, total assets : 0, trade_pnl : 2.0157768563955187, net_pnl : -669.9314109110268
Trade at 2019-11-06 01:00:00 with price 9388.57 and signal -1, total assets : -0.10651249338291136, trade_pnl : 0, net_pnl : -669.9314109110268
Trade at 2019-11-06 01:30:00 with price 9332.77 and signal 1, total assets : 0, trade_pnl : 5.943397130766357, net_pnl : -663.9880137802604
Trade at 2019-11-06 02:00:00 with price 9351.25 and signal -1, total assets : -0.10693757519048255, trade_pnl : 0, net_pnl : -663.9880137802604
Trade at 2019-11-06 02:30:00 with price 9353.78 and signal 1, total assets : 0, trade_pnl : -0.27055206523198194, net_pnl : -664.2585658454924
Trade at 2019-11-06 03:00:00 with price 9340.34 and signal 1, total assets : 0.10706248380679932, trade_pnl : 0, net_pnl : -664.2585658454924
Trade at 2019-11-06 03:30:00 with price 9323.48 and signal -1, total assets : 0, trade_pnl : -1.8050734769826704, net_pnl : -666.0636393224751
Trade at 2019-11-06 04:00:00 with price 9315.49 and signal -1, total assets : -0.10734808367568427, trade_pnl : 0, net_pnl : -666.0636393224751
Trade at 2019-11-06 08:30:00 with price 9286.9 and signal 1, total assets : 0, trade_pnl : 3.0690817122878116, net_pnl : -662.9945576101873
Trade at 2019-11-06 09:00:00 with price 9305.0 and signal 1, total assets : 0.10746910263299302, trade_pnl : 0, net_pnl : -662.9945576101873
Trade at 2019-11-06 09:30:00 with price 9315.66 and signal -1, total assets : 0, trade_pnl : 1.1456206340676545, net_pnl : -661.8489369761196
Trade at 2019-11-06 10:00:00 with price 9333.09 and signal 1, total assets : 0.10714565058303306, trade_pnl : 0, net_pnl : -661.8489369761196
Trade at 2019-11-06 15:00:00 with price 9360.78 and signal -1, total assets : 0, trade_pnl : 2.966863064644258, net_pnl : -658.8820739114753
Trade at 2019-11-06 15:30:00 with price 9352.58 and signal -1, total assets : -0.10692236794552946, trade_pnl : 0, net_pnl : -658.8820739114753
Trade at 2019-11-06 17:30:00 with price 9343.01 and signal 1, total assets : 0, trade_pnl : 1.0232470612387488, net_pnl : -657.8588268502366
Trade at 2019-11-06 18:00:00 with price 9354.65 and signal -1, total assets : -0.10689870812911226, trade_pnl : 0, net_pnl : -657.8588268502366
Trade at 2019-11-06 18:30:00 with price 9356.13 and signal 1, total assets : 0, trade_pnl : -0.15821008803095538, net_pnl : -658.0170369382676
Trade at 2019-11-06 19:00:00 with price 9319.55 and signal -1, total assets : -0.10730131819669406, trade_pnl : 0, net_pnl : -658.0170369382676
Trade at 2019-11-06 21:30:00 with price 9302.0 and signal 1, total assets : 0, trade_pnl : 1.8831381343518387, net_pnl : -656.1338988039157
Trade at 2019-11-06 22:00:00 with price 9319.64 and signal -1, total assets : -0.10730028198514106, trade_pnl : 0, net_pnl : -656.1338988039157
Trade at 2019-11-07 01:00:00 with price 9293.5 and signal 1, total assets : 0, trade_pnl : 2.8048293710915004, net_pnl : -653.3290694328242
Trade at 2019-11-07 01:30:00 with price 9291.82 and signal -1, total assets : -0.1076215423888969, trade_pnl : 0, net_pnl : -653.3290694328242
Trade at 2019-11-07 02:00:00 with price 9293.01 and signal 1, total assets : 0, trade_pnl : -0.1280696354427846, net_pnl : -653.457139068267
Trade at 2019-11-07 02:30:00 with price 9317.18 and signal -1, total assets : -0.10732861230544005, trade_pnl : 0, net_pnl : -653.457139068267
Trade at 2019-11-07 03:30:00 with price 9336.0 and signal 1, total assets : 0, trade_pnl : -2.0199244835882837, net_pnl : -655.4770635518553
Trade at 2019-11-07 04:00:00 with price 9337.15 and signal 1, total assets : 0.10709906127672791, trade_pnl : 0, net_pnl : -655.4770635518553
Trade at 2019-11-07 07:30:00 with price 9307.74 and signal -1, total assets : 0, trade_pnl : -3.1497833921486063, net_pnl : -658.6268469440039
Trade at 2019-11-07 08:00:00 with price 9297.06 and signal -1, total assets : -0.10756088483886304, trade_pnl : 0, net_pnl : -658.6268469440039
Trade at 2019-11-07 11:30:00 with price 9298.77 and signal 1, total assets : 0, trade_pnl : -0.18392911307455506, net_pnl : -658.8107760570784
Trade at 2019-11-07 12:00:00 with price 9287.1 and signal -1, total assets : -0.10767623908432127, trade_pnl : 0, net_pnl : -658.8107760570784
Trade at 2019-11-07 13:00:00 with price 9258.95 and signal 1, total assets : 0, trade_pnl : 3.0310861302235708, net_pnl : -655.7796899268549
Trade at 2019-11-07 13:30:00 with price 9255.54 and signal -1, total assets : -0.10804339887245908, trade_pnl : 0, net_pnl : -655.7796899268549
Trade at 2019-11-07 19:00:00 with price 9202.82 and signal 1, total assets : 0, trade_pnl : 5.696047988556188, net_pnl : -650.0836419382987
Trade at 2019-11-07 19:30:00 with price 9216.36 and signal 1, total assets : 0.10850270605748907, trade_pnl : 0, net_pnl : -650.0836419382987
Trade at 2019-11-07 21:30:00 with price 9221.35 and signal -1, total assets : 0, trade_pnl : 0.541428503226939, net_pnl : -649.5422134350717
Trade at 2019-11-07 22:00:00 with price 9209.29 and signal 1, total assets : 0.1085860039156113, trade_pnl : 0, net_pnl : -649.5422134350717
Trade at 2019-11-07 22:30:00 with price 9212.18 and signal -1, total assets : 0, trade_pnl : 0.313813551316116, net_pnl : -649.2283998837556
Trade at 2019-11-07 23:00:00 with price 9199.37 and signal -1, total assets : -0.10870309597287639, trade_pnl : 0, net_pnl : -649.2283998837556
Trade at 2019-11-07 23:30:00 with price 9194.06 and signal 1, total assets : 0, trade_pnl : 0.5772134396161164, net_pnl : -648.6511864441395
Trade at 2019-11-08 00:00:00 with price 9214.27 and signal -1, total assets : -0.10852731686829233, trade_pnl : 0, net_pnl : -648.6511864441395
Trade at 2019-11-08 00:30:00 with price 9211.27 and signal 1, total assets : 0, trade_pnl : 0.325581950604942, net_pnl : -648.3256044935346
Trade at 2019-11-08 01:00:00 with price 9201.23 and signal 1, total assets : 0.10868112198043088, trade_pnl : 0, net_pnl : -648.3256044935346
Trade at 2019-11-08 02:30:00 with price 9123.4 and signal -1, total assets : 0, trade_pnl : -8.45865172373692, net_pnl : -656.7842562172715
Trade at 2019-11-08 03:00:00 with price 9224.93 and signal -1, total assets : -0.1084019065727328, trade_pnl : 0, net_pnl : -656.7842562172715
Trade at 2019-11-08 03:30:00 with price 9230.0 and signal 1, total assets : 0, trade_pnl : -0.5495976663237343, net_pnl : -657.3338538835952
Trade at 2019-11-08 04:00:00 with price 9229.42 and signal 1, total assets : 0.10834917037040247, trade_pnl : 0, net_pnl : -657.3338538835952
Trade at 2019-11-08 05:30:00 with price 9192.42 and signal -1, total assets : 0, trade_pnl : -4.008919303704943, net_pnl : -661.3427731873002
Trade at 2019-11-08 06:00:00 with price 9205.48 and signal -1, total assets : -0.10863094591482465, trade_pnl : 0, net_pnl : -661.3427731873002
Trade at 2019-11-08 07:00:00 with price 9221.33 and signal 1, total assets : 0, trade_pnl : -1.7218004927500488, net_pnl : -663.0645736800502
Trade at 2019-11-08 07:30:00 with price 9226.47 and signal 1, total assets : 0.10838381309428201, trade_pnl : 0, net_pnl : -663.0645736800502
Trade at 2019-11-08 10:30:00 with price 9202.09 and signal -1, total assets : 0, trade_pnl : -2.6423973632385014, net_pnl : -665.7069710432887
Trade at 2019-11-08 11:00:00 with price 9207.46 and signal -1, total assets : -0.10860758558820784, trade_pnl : 0, net_pnl : -665.7069710432887
Trade at 2019-11-08 17:00:00 with price 9026.27 and signal 1, total assets : 0, trade_pnl : 19.678608432727174, net_pnl : -646.0283626105615
Trade at 2019-11-08 17:30:00 with price 8997.65 and signal -1, total assets : -0.1111401310342145, trade_pnl : 0, net_pnl : -646.0283626105615
Trade at 2019-11-08 21:30:00 with price 8774.16 and signal 1, total assets : 0, trade_pnl : 24.838707884836595, net_pnl : -621.189654725725
Trade at 2019-11-08 22:00:00 with price 8764.21 and signal -1, total assets : -0.11410041521141097, trade_pnl : 0, net_pnl : -621.189654725725
Trade at 2019-11-08 23:00:00 with price 8779.21 and signal 1, total assets : 0, trade_pnl : -1.7115062281711744, net_pnl : -622.9011609538961
Trade at 2019-11-08 23:30:00 with price 8813.58 and signal -1, total assets : -0.11346127226393815, trade_pnl : 0, net_pnl : -622.9011609538961
Trade at 2019-11-09 00:00:00 with price 8820.42 and signal 1, total assets : 0, trade_pnl : -0.7760751022854038, net_pnl : -623.6772360561815
Trade at 2019-11-09 00:30:00 with price 8828.23 and signal 1, total assets : 0.11327298903630739, trade_pnl : 0, net_pnl : -623.6772360561815
Trade at 2019-11-09 02:30:00 with price 8866.92 and signal -1, total assets : 0, trade_pnl : 4.382531945814776, net_pnl : -619.2947041103668
Trade at 2019-11-09 03:00:00 with price 8874.04 and signal 1, total assets : 0.112688245714466, trade_pnl : 0, net_pnl : -619.2947041103668
Trade at 2019-11-09 04:30:00 with price 8821.02 and signal -1, total assets : 0, trade_pnl : -5.974730787781027, net_pnl : -625.2694348981478
Trade at 2019-11-09 05:00:00 with price 8773.73 and signal -1, total assets : -0.11397660972015324, trade_pnl : 0, net_pnl : -625.2694348981478
Trade at 2019-11-09 06:30:00 with price 8823.25 and signal 1, total assets : 0, trade_pnl : -5.644121713342088, net_pnl : -630.9135566114899
Trade at 2019-11-09 07:00:00 with price 8807.03 and signal 1, total assets : 0.11354565614060586, trade_pnl : 0, net_pnl : -630.9135566114899
Trade at 2019-11-09 09:00:00 with price 8836.48 and signal -1, total assets : 0, trade_pnl : 3.343919573340827, net_pnl : -627.569637038149
Trade at 2019-11-09 09:30:00 with price 8820.0 and signal 1, total assets : 0.11337868480725624, trade_pnl : 0, net_pnl : -627.569637038149
Trade at 2019-11-09 11:30:00 with price 8846.32 and signal -1, total assets : 0, trade_pnl : 2.9841269841269877, net_pnl : -624.585510054022
Trade at 2019-11-09 12:00:00 with price 8869.88 and signal 1, total assets : 0.11274109683558291, trade_pnl : 0, net_pnl : -624.585510054022
Trade at 2019-11-09 13:30:00 with price 8834.1 and signal -1, total assets : 0, trade_pnl : -4.033876444776979, net_pnl : -628.619386498799
Trade at 2019-11-09 14:00:00 with price 8816.02 and signal -1, total assets : -0.11342986971445164, trade_pnl : 0, net_pnl : -628.619386498799
Trade at 2019-11-09 15:30:00 with price 8856.11 and signal 1, total assets : 0, trade_pnl : -4.547403476852423, net_pnl : -633.1667899756515
Trade at 2019-11-09 16:00:00 with price 8849.34 and signal 1, total assets : 0.11300277760827361, trade_pnl : 0, net_pnl : -633.1667899756515
Trade at 2019-11-09 17:00:00 with price 8817.7 and signal -1, total assets : 0, trade_pnl : -3.5754078835257133, net_pnl : -636.7421978591772
Trade at 2019-11-09 17:30:00 with price 8834.49 and signal -1, total assets : -0.1131927253299285, trade_pnl : 0, net_pnl : -636.7421978591772
Trade at 2019-11-09 19:00:00 with price 8859.32 and signal 1, total assets : 0, trade_pnl : -2.8105753699420575, net_pnl : -639.5527732291192
Trade at 2019-11-09 19:30:00 with price 8850.0 and signal 1, total assets : 0.11299435028248588, trade_pnl : 0, net_pnl : -639.5527732291192
Trade at 2019-11-09 20:30:00 with price 8809.17 and signal -1, total assets : 0, trade_pnl : -4.613559322033893, net_pnl : -644.1663325511531
Trade at 2019-11-09 21:00:00 with price 8800.75 and signal -1, total assets : -0.11362667954435701, trade_pnl : 0, net_pnl : -644.1663325511531
Trade at 2019-11-10 00:00:00 with price 8766.71 and signal 1, total assets : 0, trade_pnl : 3.8678521716900605, net_pnl : -640.2984803794631
Trade at 2019-11-10 00:30:00 with price 8779.5 and signal 1, total assets : 0.11390170283045732, trade_pnl : 0, net_pnl : -640.2984803794631
Trade at 2019-11-10 01:30:00 with price 8777.5 and signal -1, total assets : 0, trade_pnl : -0.22780340566089308, net_pnl : -640.526283785124
Trade at 2019-11-10 02:00:00 with price 8782.14 and signal -1, total assets : -0.11386746282796677, trade_pnl : 0, net_pnl : -640.526283785124
Trade at 2019-11-10 02:30:00 with price 8789.19 and signal 1, total assets : 0, trade_pnl : -0.8027656129372645, net_pnl : -641.3290493980612
Trade at 2019-11-10 03:00:00 with price 8810.0 and signal 1, total assets : 0.11350737797956867, trade_pnl : 0, net_pnl : -641.3290493980612
Trade at 2019-11-10 06:30:00 with price 8776.09 and signal -1, total assets : 0, trade_pnl : -3.8490351872871997, net_pnl : -645.1780845853484
Trade at 2019-11-10 07:00:00 with price 8780.19 and signal -1, total assets : -0.11389275175138579, trade_pnl : 0, net_pnl : -645.1780845853484
Trade at 2019-11-10 10:30:00 with price 8812.49 and signal 1, total assets : 0, trade_pnl : -3.6787358815697644, net_pnl : -648.8568204669182
Trade at 2019-11-10 11:00:00 with price 8857.35 and signal 1, total assets : 0.11290058538953524, trade_pnl : 0, net_pnl : -648.8568204669182
Trade at 2019-11-10 13:30:00 with price 8833.25 and signal -1, total assets : 0, trade_pnl : -2.720904107887918, net_pnl : -651.5777245748061
Trade at 2019-11-10 14:00:00 with price 8822.78 and signal -1, total assets : -0.11334295992872993, trade_pnl : 0, net_pnl : -651.5777245748061
Trade at 2019-11-10 15:00:00 with price 8822.95 and signal 1, total assets : 0, trade_pnl : -0.019268303187800484, net_pnl : -651.5969928779939
Trade at 2019-11-10 15:30:00 with price 8833.06 and signal -1, total assets : -0.1132110503041981, trade_pnl : 0, net_pnl : -651.5969928779939
